,Date,Open,High,Low,Close,Adj.Close,Volume
0,18 Nov 2020,213.65,215.17,210.93,211.08,211.08,"28,340,900"
1,17 Nov 2020,216.10,217.68,214.08,214.46,213.90,"24,154,100"
2,16 Nov 2020,214.87,217.74,214.52,217.23,216.66,"24,953,300"
3,13 Nov 2020,216.36,217.42,214.16,216.51,215.94,"18,621,100"
4,12 Nov 2020,217.21,219.11,214.46,215.44,214.88,"21,593,900"
5,11 Nov 2020,212.39,218.04,212.20,216.55,215.98,"29,440,800"
6,10 Nov 2020,214.50,216.50,209.72,211.01,210.46,"44,045,100"
7,09 Nov 2020,224.44,228.12,217.88,218.39,217.82,"44,395,000"
8,06 Nov 2020,222.26,224.36,218.03,223.72,223.14,"25,231,900"
9,05 Nov 2020,222.04,224.12,221.15,223.29,222.71,"36,080,100"
10,04 Nov 2020,214.02,218.32,212.42,216.39,215.82,"42,311,800"
11,03 Nov 2020,203.89,208.12,203.12,206.43,205.89,"27,512,000"
12,02 Nov 2020,204.29,205.28,200.12,202.33,201.80,"30,842,200"
13,30 Oct 2020,203.50,204.29,199.62,202.47,201.94,"36,953,700"
14,29 Oct 2020,204.07,207.36,203.37,204.72,204.19,"31,432,600"
15,28 Oct 2020,207.67,208.84,202.10,202.68,202.15,"51,195,600"
16,27 Oct 2020,211.59,214.67,210.33,213.25,212.69,"36,700,300"
17,26 Oct 2020,213.85,216.34,208.10,210.08,209.53,"37,111,600"
18,23 Oct 2020,215.03,216.28,213.16,216.23,215.67,"18,879,600"
19,22 Oct 2020,213.93,216.06,211.70,214.89,214.33,"22,351,500"
20,21 Oct 2020,213.12,216.92,213.12,214.80,214.24,"22,724,900"
21,20 Oct 2020,215.80,217.37,213.09,214.65,214.09,"22,753,500"
22,19 Oct 2020,220.42,222.30,213.72,214.22,213.66,"27,625,800"
23,16 Oct 2020,220.15,222.29,219.32,219.66,219.09,"26,057,900"
24,15 Oct 2020,217.10,220.36,216.01,219.66,219.09,"22,733,100"
25,14 Oct 2020,223.00,224.22,219.13,220.86,220.28,"23,451,700"
26,13 Oct 2020,222.72,225.21,220.43,222.86,222.28,"28,950,800"
27,12 Oct 2020,218.79,223.86,216.81,221.40,220.82,"40,461,400"
28,09 Oct 2020,211.23,215.86,211.23,215.81,215.25,"26,458,000"
29,08 Oct 2020,210.51,211.19,208.32,210.58,210.03,"19,925,800"
30,07 Oct 2020,207.06,210.11,206.72,209.83,209.28,"25,681,100"
31,06 Oct 2020,208.82,210.18,204.82,205.91,205.37,"28,554,300"
32,05 Oct 2020,207.22,210.41,206.98,210.38,209.83,"21,331,600"
33,02 Oct 2020,208.00,210.99,205.54,206.19,205.65,"33,154,800"
34,01 Oct 2020,213.49,213.99,211.32,212.46,211.91,"27,158,400"
35,30 Sep 2020,207.73,211.98,206.54,210.33,209.78,"33,780,700"
36,29 Sep 2020,209.35,210.07,206.81,207.26,206.72,"24,221,900"
37,28 Sep 2020,210.88,212.57,208.06,209.44,208.89,"32,004,900"
38,25 Sep 2020,203.55,209.04,202.54,207.82,207.28,"29,437,300"
39,24 Sep 2020,199.85,205.57,199.20,203.19,202.66,"31,202,500"
40,23 Sep 2020,207.90,208.10,200.03,200.59,200.07,"30,803,800"
41,22 Sep 2020,205.06,208.10,202.08,207.42,206.88,"33,517,100"
42,21 Sep 2020,197.19,202.71,196.38,202.54,202.01,"39,839,700"
43,18 Sep 2020,202.80,203.65,196.25,200.39,199.87,"55,225,300"
44,17 Sep 2020,200.05,204.33,199.96,202.91,202.38,"34,011,300"
45,16 Sep 2020,210.62,210.65,204.64,205.05,204.51,"26,328,100"
